iter	Passed	Remaining
1333	127583	122323
1334	127689	122237
1335	127794	122150
1336	127899	122063
1337	128002	121975
1338	128103	121884
1339	128206	121796
1340	128312	121710
1341	128416	121622
1342	128516	121531
1343	128622	121445
1344	128723	121354
1345	128828	121267
1346	128930	121177
1347	129035	121090
1348	129141	121004
1349	129244	120915
1350	129356	120834
1351	129456	120743
1352	129562	120656
1353	129663	120565
1354	129771	120481
1355	129873	120391
1356	129978	120303
1357	130083	120217
1358	130187	120129
1359	130295	120044
1360	130402	119958
1361	130510	119873
1362	130612	119783
1363	130721	119700
1364	130824	119610
1365	130927	119521
1366	131031	119433
1367	131138	119347
1368	131246	119262
1369	131349	119172
1370	131461	119092
1371	131564	119002
1372	131667	118913
1373	131772	118825
1374	131876	118736
1375	131980	118647
1376	132080	118555
1377	132188	118470
1378	132291	118381
1379	132396	118293
1380	132497	118202
1381	132602	118114
1382	132704	118023
1383	132808	117934
1384	132910	117844
1385	133013	117754
1386	133117	117665
1387	133218	117574
1388	133322	117485
1389	133424	117394
1390	133530	117307
1391	133635	117218
1392	133739	117129
1393	133842	117040
1394	133944	116949
1395	134053	116864
1396	134159	116777
1397	134260	116685
1398	134369	116600
1399	134468	116507
1400	134573	116418
1401	134676	116329
1402	134787	116245
1403	134888	116154
1404	134993	116065
1405	135095	115974
1406	135198	115884
1407	135306	115798
1408	135408	115707
1409	135515	115620
1410	135618	115530
1411	135725	115443
1412	135829	115354
1413	135935	115266
1414	136040	115177
1415	136147	115090
1416	136249	114999
1417	136354	114910
1418	136455	114818
1419	136578	114745
1420	136694	114665
1421	136811	114587
1422	136916	114498
1423	137033	114419
1424	137146	114336
1425	137262	114257
1426	137386	114183
1427	137508	114108
1428	137611	114018
1429	137723	113934
1430	137839	113854
1431	137946	113767
1432	138061	113686
1433	138174	113604
1434	138293	113525
1435	138399	113437
1436	138504	113348
1437	138629	113274
1438	138749	113198
1439	138874	113124
1440	138988	113042
1441	139093	112952
1442	139200	112865
1443	139306	112776
1444	139430	112702
1445	139530	112608
1446	139650	112531
1447	139773	112456
1448	139897	112381
1449	140007	112295
1450	140120	112212
1451	140225	112122
1452	140333	112035
1453	140435	111942
1454	140540	111852
1455	140645	111763
1456	140761	111682
1457	140863	111589
1458	140990	111516
1459	141092	111424
1460	141199	111335
1461	141300	111242
1462	141406	111153
1463	141507	111060
1464	141611	110969
1465	141710	110874
1466	141816	110785
1467	141929	110701
1468	142036	110612
1469	142151	110529
1470	142260	110442
1471	142362	110350
1472	142467	110260
1473	142573	110170
1474	142676	110078
1475	142780	109987
1476	142900	109908
1477	143004	109817
1478	143110	109727
1479	143214	109636
1480	143319	109545
1481	143424	109455
1482	143531	109366
1483	143637	109276
1484	143739	109184
1485	143843	109092
1486	143944	108998
1487	144048	108907
1488	144153	108816
1489	144259	108727
1490	144364	108636
1491	144467	108544
1492	144574	108454
1493	144680	108364
1494	144785	108274
1495	144888	108182
1496	144992	108090
1497	145096	107998
1498	145203	107909
1499	145311	107821
1500	145416	107730
1501	145524	107641
1502	145623	107546
1503	145730	107456
1504	145833	107364
1505	145940	107275
1506	146044	107183
1507	146145	107089
1508	146252	106999
1509	146355	106907
1510	146459	106815
1511	146561	106722
1512	146671	106635
1513	146776	106543
1514	146881	106452
1515	146986	106361
1516	147089	106268
1517	147195	106178
1518	147298	106086
1519	147403	105994
1520	147507	105902
1521	147614	105812
1522	147716	105719
1523	147822	105629
1524	147924	105535
1525	148030	105445
1526	148130	105350
1527	148237	105260
1528	148341	105167
1529	148444	105075
1530	148552	104985
1531	148654	104892
1532	148761	104802
1533	148863	104708
1534	148972	104620
1535	149079	104530
1536	149183	104438
1537	149285	104344
1538	149388	104251
1539	149492	104159
1540	149599	104069
1541	149704	103977
1542	149808	103885
1543	149915	103795
1544	150019	103702
1545	150124	103611
1546	150224	103515
1547	150330	103425
1548	150433	103332
1549	150539	103240
1550	150646	103150
1551	150750	103058
1552	150859	102969
1553	150962	102875
1554	151067	102784
1555	151173	102692
1556	151280	102602
1557	151388	102512
1558	151490	102419
1559	151600	102330
1560	151707	102239
1561	151813	102148
1562	151913	102053
1563	152024	101965
1564	152127	101871
1565	152229	101777
1566	152337	101688
1567	152440	101594
1568	152545	101502
1569	152652	101411
1570	152759	101320
1571	152868	101231
1572	152975	101140
1573	153085	101051
1574	153189	100959
1575	153295	100867
1576	153398	100774
1577	153505	100683
1578	153607	100588
1579	153716	100499
1580	153823	100408
1581	153926	100314
1582	154031	100222
1583	154131	100127
1584	154238	100035
1585	154341	99942
1586	154444	99849
1587	154547	99755
1588	154652	99662
1589	154760	99572
1590	154865	99479
1591	154973	99389
1592	155079	99297
1593	155189	99208
